# MonsterVariety path -> Monster Category flags bitmask.
# Flags: Humanoid=1 Beast=2 Undead=4 Construct=8 Demon=16 Eldritch=32 (a monster may have several).
# Source: PoE2 patch 4.5.4.3 (0.5.4b) MonsterVarieties.dat Tags column via pathofexile-dat.
# Tag->bit: humanoid(48)=1 beast(72)=2 undead(73)=4 construct(74)=8 demon(56)=16 eldritch(706)=32.
# Regenerate on patch day: see the 'beast-detection' Claude memory. '#'-prefixed lines are comments.
Any	8
Metadata/Monsters/Act2/ForsakenSon	5
Metadata/Monsters/Act2/ForsakenSonMap	5
Metadata/Monsters/Act2/ForsakenSonSTANDALONE	5
Metadata/Monsters/Anchorite/AnchoriteFlathead	1
Metadata/Monsters/Anchorite/AnchoriteMother	1
Metadata/Monsters/Anchorite/AnchoriteSpawn_	1
Metadata/Monsters/Anchorite/Runemarked/AnchoriteMotherRunemarked	1
Metadata/Monsters/Anchorman/BloatedAnchorman	5
Metadata/Monsters/AnimatedItem/AnimatedWeaponPlayerSummoned	8
Metadata/Monsters/AntCarrierMonster/AntCarrier	2
Metadata/Monsters/ApparitionBoss/SilentSpiresApparition	8
Metadata/Monsters/ApparitionBoss/SilentSpiresApparitionSTANDALONE	8
Metadata/Monsters/ArmadilloDemon/ArmadilloDemon	2
Metadata/Monsters/ArmadilloDemon/Runemarked/ArmadilloDemonRunemarked	2
Metadata/Monsters/AscendancyBatMonster/AscendancyBat	2
Metadata/Monsters/AtlasBosses/ArbiterOfDivinityBoss/ArbiterOfDivinityDivineClone	17
Metadata/Monsters/AtlasBosses/ArbiterOfDivinityBoss/ArbiterOfDivinityTriangulateClone	17
Metadata/Monsters/AtlasBosses/ArbiterOfDivinityBoss/ArbiterofDivinityBoltClone	17
Metadata/Monsters/AtlasBosses/ArbiterOfDivinityBoss/ArbiterofDivinityStandalone	17
Metadata/Monsters/AtlasBosses/ArbiterOfDivinityBoss/ArbiterofDivinity_	17
Metadata/Monsters/AtlasBosses/DemonClawBoss/DemonClawBoss	17
Metadata/Monsters/AtlasBosses/DemonClawBoss/DemonClawBossStandalone	17
Metadata/Monsters/Balbala/Balbala	5
Metadata/Monsters/Balbala/BalbalaCloneMAP	5
Metadata/Monsters/Balbala/BalbalaClone_	5
Metadata/Monsters/Balbala/BalbalaMAP	5
Metadata/Monsters/Balbala/BalbalaSTANDALONE_	5
Metadata/Monsters/BaneSapling/BaneSapling	2
Metadata/Monsters/BansheeRemake/WitchHutBanshee	4
Metadata/Monsters/Baron/BaronBossCorruptedWolfForm	16
Metadata/Monsters/Baron/BaronBossCorruptedWolfFormMap	16
Metadata/Monsters/Baron/BaronBossCorruptedWolfFormStandalone	16
Metadata/Monsters/Baron/BaronBossCorruptedWolfFormStandaloneInvasion	16
Metadata/Monsters/Baron/BaronBossHumanForm	1
Metadata/Monsters/Baron/BaronBossHumanFormMap	1
Metadata/Monsters/Baron/BaronBossHumanFormWolf	3
Metadata/Monsters/Baron/BaronBossHumanFormWolfMap	3
Metadata/Monsters/Baron/BaronMinerPlebThrower1	5
Metadata/Monsters/Baron/BaronMinerPlebThrower2	5
Metadata/Monsters/Baron/BaronMinerPleb_	5
Metadata/Monsters/Baron/BaronWerewolfProwlerSummon	2
Metadata/Monsters/Baron/BaronWerewolfSummon	3
Metadata/Monsters/BeehiveBehemoth/FungusBehemoth	4
Metadata/Monsters/BeehiveBehemoth/FungusBehemothMap	4
Metadata/Monsters/BeehiveBehemoth/FungusBehemothSTANDALONE	4
Metadata/Monsters/BeehiveBehemoth/FungusBehemothVine	8
Metadata/Monsters/Bird/MutantBird	2
Metadata/Monsters/Bird/MutantBirdDog	2
Metadata/Monsters/Bird2/MutantBird2	2
Metadata/Monsters/Bird2/MutantBird2Map	2
Metadata/Monsters/Bird2/MutantBird2Minion1	2
Metadata/Monsters/Bird2/MutantBird2Minion2	2
Metadata/Monsters/Bird2/MutantBird2NOUltimatum	2
Metadata/Monsters/Bird2/MutantBird2Standalone	2
Metadata/Monsters/Bird2/MutantBirdDog2_	2
Metadata/Monsters/Bird2/MutantBirdDog2_Minion	2
Metadata/Monsters/Bird2/MutantBirdDog2_Standalone	2
Metadata/Monsters/BitterGuy/BitterGuyBoss	1
Metadata/Monsters/BitterGuy/BitterGuyBossCRUEL	1
Metadata/Monsters/BitterGuy/BitterGuyBossMap	1
Metadata/Monsters/BitterGuy/BitterGuyBossSTANDALONE	1
Metadata/Monsters/BitterGuy/BitterGuyChild1Surge_	4
Metadata/Monsters/BitterGuy/BitterGuyChild2Surge	4
